id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5217466,#411 Private Cozy Apt. in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73404,139.63128,Entire home/apt,6085,3,87,2020-12-13,0.97,9,91,0,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
1394124,Solar power/Car space/near to park,5710367,David,,Meguro Ku,35.62039,139.69983,Entire home/apt,25000,2,234,2022-06-19,2.17,1,59,9,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第88号
5240174,Designer's Flat - Shibuya YOYOGI park 10mins No.2,24477517,Naoko,,Shibuya Ku,35.66339,139.68741,Entire home/apt,17000,2,195,2021-12-30,2.22,4,0,3,M130005396
1394409,Room in Mejiro/Ikebukuro (2 of 3),7537357,Yayoi,,Toshima Ku,35.72415,139.70151,Private room,4000,3,226,2022-05-16,2.11,2,87,1,M130000166
5262640,Private Cozy Apt in Tokyo 413,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73445,139.63139,Entire home/apt,6085,3,52,2020-02-28,0.59,9,91,0,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
1394737,Room in Mejiro/Ikebukuro (3 of 3),7537357,Yayoi,,Toshima Ku,35.7241,139.70343,Private room,4000,3,220,2020-01-05,2.04,2,331,0,M130000166
5262658,Private Cozy Apt in Tokyo 311,17736560,ﾀﾂﾛｳ (Taturo),,Nerima Ku,35.73588,139.63159,Entire home/apt,7438,3,117,2020-03-10,1.31,9,91,0,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
1441639,Wahuu Style APT + Free Portable Wi-Fi,7740848,K Family,,Katsushika Ku,35.7362,139.85178,Entire home/apt,10286,3,306,2022-02-24,2.83,8,269,2,M130002147
5407938,Heart of Shinjuku/Free Pocket Wifi/Homey^^,28035085,Koichi,,Shinjuku Ku,35.69346,139.70823,Entire home/apt,10000,2,285,2021-04-11,3.23,4,0,0,M130004171
1526132,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) 8F B,8142772,Min & Haru,,Shinjuku Ku,35.69857,139.704,Private room,5279,2,157,2022-01-02,1.46,11,171,1,M130002186
1544970,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) 8F A,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70432,Private room,5136,2,132,2022-06-07,1.24,11,107,2,M130002186
5410242,Steve's International Guest Place,28045851,Steve,,Suginami Ku,35.70055,139.60022,Entire home/apt,8790,4,52,2022-03-20,0.66,1,156,1,M130000018
1571298,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー 6F-5 シェアまたはグループ用,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70433,Shared room,3909,2,168,2020-03-12,1.57,11,180,0,M130002186
1574946,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー 6F No-6 シェアまたはグループ用,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70433,Shared room,3909,2,141,2020-03-02,1.32,11,180,0,M130002186
1600454,"cute room, safty residential area in west-Tokyo",8529477,Mari ,,Setagaya Ku,35.65897,139.60988,Private room,3300,2,44,2022-04-30,0.42,2,62,2,M130000196
5464305,Finest Cafe/Bar/Hotel 2F in Asagaya TOKYO /w WIFI,28340699,Kimmy And Dee,,Suginami Ku,35.70656,139.63583,Entire home/apt,5500,2,131,2022-06-07,1.49,3,346,7,Hotels and Inns Business Act | 東京都杉並区保健所 | 31杉保衛環第50号
1600758,Enjoy a unique house in a green residential area!,8529477,Mari ,,Setagaya Ku,35.65933,139.60847,Private room,3300,2,14,2022-06-05,0.29,2,31,1,M130000196
1754294,Home stay with a Japanese language teacher family,6018145,Mari,,Shinjuku Ku,35.6944,139.70727,Private room,11920,1,245,2020-04-04,2.31,2,0,0,M130002814
1919541,share house 'Miraie' @JR Osaki,9951050,Takashi&Li,,Shinagawa Ku,35.61794,139.72313,Private room,4000,2,231,2022-05-29,2.21,1,150,4,M130001466
7782741,"2 minutes to Shinjuku, 3-story house",40951044,Lei,,Shinjuku Ku,35.70309,139.70166,Entire home/apt,33752,2,136,2020-02-29,1.69,4,315,0,M130002905
7876373,"Nihonbasi/Imperial Palace/Akihabara,walk 15min",41516927,Yoshihito,,Chuo Ku,35.68842,139.77816,Private room,3858,1,125,2020-03-26,1.69,16,174,0,Hotels and Inns Business Act | 東京都中央区保健所 | ３０中保き環き第１５２号
7876385,"Tokyo sta/Nihonbasi/Imperial Palace/Ginza, #402",41516927,Yoshihito,,Chuo Ku,35.68903,139.77667,Private room,3739,1,171,2020-03-20,2.30,16,176,0,Hotels and Inns Business Act | 東京都中央区保健所 | ３０中保生環き第１５２号
7876639,"Center of Tokyo,Quite Area Location #405",41516927,Yoshihito,,Chuo Ku,35.68699,139.77643,Private room,3896,1,132,2022-05-01,1.76,16,170,1,Hotels and Inns Business Act | 東京都中央区保健所 | ３０中保生環き第１５２号
1997959,Stylish Apartment in Tokyo with Rooftop & Blue Sky,10294366,Ryusuke,,Setagaya Ku,35.63858,139.64624,Entire home/apt,18500,2,108,2022-05-18,1.07,1,8,3,M130000611
2129583,＊B＊Tranquil Retreat with LOFT& WIFI near Shinjuku!,9203725,Memz And Emiliya,,Suginami Ku,35.67273,139.65974,Entire home/apt,9500,2,9,2020-07-15,0.10,12,365,0,Hotels and Inns Business Act | 東京都杉並区杉並保健所 | 30杉保衛環第331号
7899504,TOP EDGE HOUSE 202,38655722,"Top Edge Co., Ltd.",,Suginami Ku,35.70366,139.62997,Private room,4000,1,29,2022-05-08,0.35,9,0,1,M130001125
2219300,＊C＊Tranquil Studio with Loft&WIFI near Shinjuku !,9203725,Memz And Emiliya,,Suginami Ku,35.67273,139.65974,Entire home/apt,9500,2,16,2020-02-25,0.18,12,190,0,Hotels and Inns Business Act | 東京都杉並区杉並保健所 | 30杉保衛環第331号
7901470,"Seidokan 205 / Quiet, entirely private room with freedom of access (own bathroom/toilet)",17694529,Hisao,,Arakawa Ku,35.72671,139.782,Entire home/apt,2500,1,326,2022-06-21,3.91,9,59,14,Hotels and Inns Business Act | 荒川区保健所長 | ３０荒保衛環き（三）第１５号
7901621,"Seidokan 204/Quiet, entirely private room with freedom of access (own bathroom/toilet)",17694529,Hisao,,Arakawa Ku,35.72672,139.78201,Entire home/apt,2500,1,265,2022-04-27,3.24,9,0,5,Hotels and Inns Business Act | 荒川区保健所長 | ３０荒保衛環き（三）第１５号
2238472,Spacious! Shibuya House w/Garden,11430874,Kako & Keiko,,Shibuya Ku,35.67191,139.68367,Private room,27000,1,157,2020-05-08,1.56,1,248,0,M130000961
7903097,#1 close to Ikebkuro东京池袋附近民宿,9542500,Jiang,,Itabashi Ku,35.75915,139.68365,Private room,4729,2,72,2020-01-21,0.89,3,181,0,M130000033
2602722,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー 6F No-2 シェアまたはグループ用,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70433,Shared room,3909,2,157,2020-01-25,1.56,11,180,0,M130002186
5516726,10min to Shinjuku:Mt. Fuji view from the rooftop,24781998,Airin,,Nakano Ku,35.72085,139.64121,Private room,15000,1,23,2019-05-01,0.26,1,181,0,M130000774
2602791,＊新宿・大久保徒歩圏内＊個室5人まで同料金&最大8人まで同室貸切！,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70435,Private room,15857,2,71,2020-01-01,0.71,11,180,0,M130002186
7911710,#1 Bed private room near ikebukuro,9542500,Jiang,,Itabashi Ku,35.76123,139.68315,Private room,4786,2,75,2020-01-14,0.91,3,181,0,M130000033
2645379,＊新宿・大久保徒歩圏内＊個室5人まで同料金&最大8人まで同室貸切！,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70433,Private room,15857,2,72,2019-11-05,0.72,11,180,0,M130002186
7915597,TOP EDGE HOUSE 102,38655722,"Top Edge Co., Ltd.",,Suginami Ku,35.70366,139.62999,Private room,3500,1,41,2022-05-05,0.50,9,64,3,M130001125
5564391,*SACRED FOREST 神の森* Natural Stylish Healing ♡ Cozy,28837813,Insta-Homes,,Nerima Ku,35.73172,139.66583,Private room,4079,1,208,2020-04-27,2.96,3,74,0,M130000891
5633430,Furnished Private Apt. 412 www.airbnb.jp/c/a87d19,17736560,ﾀﾂﾛｳ (Taturo),,Nerima Ku,35.7359,139.63151,Entire home/apt,8114,3,39,2020-01-01,0.44,9,91,0,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
2803972,11mins to Fussa station by train and 6mins walk!,13465066,Tomoyuki&Maki,,Akishima Shi,35.70569,139.37936,Entire home/apt,36800,3,30,2020-12-23,0.32,2,52,0,M130000081
5641920,#312 Furnished Private Apt.,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.7348,139.63141,Entire home/apt,8114,3,24,2020-01-02,0.27,9,91,0,Hotels and Inns Business Act | 中野区保健所 |  30中環生環第52号
7938869,100-year-old wooden house,41865642,Yuki,,Shibuya Ku,35.65191,139.7205,Entire home/apt,20000,3,163,2022-06-24,1.98,1,54,1,M130000963
2839061,Work desk/Central TKO/Discover local life&culture,4839990,Toshiyuki,,Bunkyo Ku,35.72035,139.76445,Private room,4571,3,77,2022-01-02,0.91,1,2,1,M130016568
7940139,designer house near Shimokitazawa,24957450,Alexander,,Setagaya Ku,35.66913,139.65991,Entire home/apt,24341,1,31,2020-09-13,0.41,1,209,0,M130006578
5661072,Shinjuku Hyakunincho 3mins to JR station,21504159,Michi,,Shinjuku Ku,35.70035,139.6967,Entire home/apt,6036,30,121,2021-06-30,1.37,25,56,1,M130004190
2867835,Lively town flat for family stay,9360394,Vann Amor,,Adachi Ku,35.79124,139.79102,Entire home/apt,13000,7,6,2019-05-21,0.07,4,178,0,M130004932
7940713,IKEBUKURO Comfy room for travellers,29681737,文娟,,Nerima Ku,35.763,139.66878,Private room,5000,1,119,2020-01-06,1.46,5,365,0,M130001805
2883497,東京下町生活,6969809,Kota,,Taito Ku,35.72208,139.78049,Entire home/apt,22000,1,254,2020-12-31,2.60,1,363,0,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第79号
7948752,Omotesando! Two dobble beds!,35684204,Junko,,Minato Ku,35.6652,139.71831,Entire home/apt,13800,2,20,2019-12-31,0.26,1,1,0,M130003646
7953607,TOP EDGE HOUSE 101,38655722,"Top Edge Co., Ltd.",,Suginami Ku,35.70365,139.62997,Private room,3500,1,74,2022-03-31,0.92,9,29,3,M130001125
5673677,"A cozy room  Shinjuku, Shibuya and Shimokitazawa!",15282125,Kanako,,Setagaya Ku,35.66432,139.65839,Private room,7500,2,57,2021-11-09,0.68,2,88,1,M130008796
2883753,Modern Tatami dining with comfy bed,9360394,Vann Amor,,Adachi Ku,35.79137,139.79205,Entire home/apt,13000,7,3,2018-11-29,0.07,4,178,0,M130004931
2883869,Comfy Studio with Lovely balcony,9360394,Vann Amor,,Adachi Ku,35.79166,139.79285,Entire home/apt,6729,7,4,2020-01-03,0.05,4,84,0,M130004934
5738050,Enjoy local life in Tokyo,29758027,Chieko,,Ota Ku,35.56976,139.69158,Entire home/apt,5000,3,138,2022-05-18,1.57,1,213,6,Special Economic Zoning Act | 30健生発第10252号
3235958,Experience normal Japan life 1,16241464,Kaori,,Itabashi Ku,35.78156,139.63309,Entire home/apt,4600,1,90,2022-06-16,0.96,2,134,5,M130000056
5815506,東京根津ステンドグラス美術館＆ゲストハウス（Since 2008),18289292,武男,,Bunkyo Ku,35.71934,139.76508,Private room,5300,1,33,2022-06-01,0.88,1,287,1,M130006097
7954446,TOP EDGE HOUSE 103,38655722,"Top Edge Co., Ltd.",,Suginami Ku,35.70365,139.62999,Private room,3500,1,38,2022-05-10,0.47,9,75,7,M130001125
7956999,High speed wifi/大江戸線 西新宿五丁目Station 3 mins / 27㎡ /,18132812,Kazumi,,Shinjuku Ku,35.69142,139.68524,Entire home/apt,12979,2,178,2022-03-02,2.16,4,174,7,M130028535
3265059,Factory Roof-Top! +Portable Wi-Fi,6606987,K & N,,Katsushika Ku,35.73862,139.8515,Private room,5643,3,319,2020-02-24,3.27,2,0,0,M130011982
5816022,【Discount！】Ebisu & Hiroo Cozy Room 2,19615511,Panda,,Shibuya Ku,35.64757,139.71994,Entire home/apt,4000,2,148,2020-02-16,1.69,2,46,0,M130003477
3339222,Experience normal Japan life 2,16241464,Kaori,,Itabashi Ku,35.77932,139.63338,Entire home/apt,4600,1,52,2022-06-16,0.63,2,46,3,M130000055
7965448,Shinagawa area  2 min to station!  room#2,19532514,Josh F,,Shinagawa Ku,35.59877,139.73915,Entire home/apt,9837,6,39,2020-03-31,0.66,2,0,0,Hotels and Inns Business Act | 東京都品川区保健所 | 30品保生環き第77号
8059922,E-Bike rental package Shinagawa area room#1 Otres,19532514,Josh F,,Shinagawa Ku,35.59877,139.73915,Entire home/apt,10242,7,70,2020-04-17,1.15,2,0,0,Hotels and Inns Business Act | 東京都品川区保健所 | 30品保生環き第77号
3372902,アジアンミックステイストの癒される空間,17018818,Miri,,Meguro Ku,35.61728,139.6679,Entire home/apt,6800,2,136,2021-12-24,1.41,1,357,2,M540000008
5876019,"Residential area, Peaceful Traditional House 1",20307199,Hotaka,,Higashimurayama Shi,35.76544,139.44477,Entire home/apt,10000,5,72,2022-03-27,0.83,3,365,3,M130000492
3409030,Shinjuku abode: Steep discount on long term stays,17190614,Shu,,Shinjuku Ku,35.6989,139.69824,Entire home/apt,7000,14,159,2022-04-30,1.64,1,134,1,M130000855
5932309,"Japanese cosy vintage house, easy access in Tokyo",30745996,Chie,,Kita Ku,35.74408,139.72525,Entire home/apt,5500,2,217,2022-06-01,2.50,1,170,5,M130000232
8105976,"Easy to airport,Asakusa,Skytree,Ginza,Akihabara!",12369727,Kei,,Katsushika Ku,35.7333,139.85079,Entire home/apt,6800,3,235,2022-03-21,2.86,1,22,3,Hotels and Inns Business Act | 東京都葛飾区保健所 | 31葛保生環第330号
3427384,Tatoo ok! Onsen of 400 years of history【禅】,13018876,Masakatsu,,Edogawa Ku,35.68374,139.85971,Entire home/apt,6955,3,81,2020-03-06,0.85,2,177,0,Hotels and Inns Business Act | 東京都江戸川区保健所 | 18江衛環01第42号
8108276,池袋 stn.+2 BR+Shijuku 5 min+Shibuya,24575613,Momoe,,Toshima Ku,35.727,139.71273,Entire home/apt,14286,5,92,2021-12-17,1.12,10,137,1,M130023193
5936568,3Private apartment Tokyo machida,22038803,Suda,,Machida Shi,35.56134,139.46284,Entire home/apt,4500,14,60,2022-06-04,0.69,1,250,9,M130000362
3514008,Seidokan ．experience the rich history of Japan!,17694529,Hisao,,Arakawa Ku,35.72672,139.78201,Entire home/apt,2500,1,239,2022-06-01,2.61,9,72,5,Hotels and Inns Business Act | 東京都荒川区保健所 | 31荒保衛環へ第１3号
8173177,"Japanese Modern Apt, 2 Stops to Shinjuku (#3)",36396507,Yuka,,Shibuya Ku,35.6772,139.67896,Entire home/apt,5447,1,177,2022-05-27,2.14,6,70,10,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3882号
3563698,Tokyo|Machida|ResidentialArea|Quiet|LongTermStay,11583876,Ken,,Machida Shi,35.58911,139.48023,Entire home/apt,4000,3,107,2022-06-11,1.12,3,86,7,M130000249
8274487,"High speed internet ,8min walk JR Osaki.max for 3",5749679,Sayoko,,Shinagawa Ku,35.61533,139.72495,Entire home/apt,8479,2,250,2022-06-08,3.04,2,151,17,Hotels and Inns Business Act | 品川区保健所 | 30品保生環き第５１号
5949669,"#201 Licensed. 7mins Sta,Tatami room. convinient",30883070,Takeshi,,Koto Ku,35.68285,139.81551,Private room,3391,1,342,2022-05-27,4.02,30,167,25,Hotels and Inns Business Act | 東京都江東区保健所 | ２８江健生環き第１０４号
5963368,Near池袋-Trad. JP. villa w/ free wifi,29681737,文娟,,Nerima Ku,35.7646,139.66835,Private room,6945,1,36,2019-06-22,0.42,5,365,0,M130001805
3572139,Modern Japanese house w/ garden,15514130,Tomo,,Toshima Ku,35.72784,139.73408,Entire home/apt,13400,2,170,2022-04-16,2.03,1,178,8,M130001001
8297870,Room available in Brand New House,7212968,Jason,,Toshima Ku,35.74061,139.71046,Private room,5400,3,75,2021-01-28,1.00,2,269,0,M130002218
3606276,＊A＊Home WIFI! Tranquil Retreat+LOFT near Shinjuku!,9203725,Memz And Emiliya,,Suginami Ku,35.67276,139.65976,Private room,12000,2,4,2019-11-27,0.06,12,365,0,Hotels and Inns Business Act | 杉並区杉並保健所 | 30杉保衛環第331号
3623844,Tatoo ok! TOKYO♨ONSEN and ROOM【寿】,13018876,Masakatsu,,Edogawa Ku,35.68358,139.85985,Entire home/apt,6955,3,65,2020-03-03,0.74,2,177,0,Hotels and Inns Business Act | 東京都江戸川区保健所 | 18江衛環01第42号
8301218,"10 Min  to Asakusa, 5 Min  Skytree.",43560434,純子,,Sumida Ku,35.71133,139.80396,Private room,4700,2,56,2020-03-06,0.68,1,89,0,M130001143
5979941,"7min to Station, Japanese style room, Free WiFi",30840659,Guesthouse,,Katsushika Ku,35.76776,139.86466,Private room,5213,2,27,2019-08-16,0.31,4,89,0,Hotels and Inns Business Act | 東京都葛飾区保健所 | 26葛保生第3209号
6050643,"Residential area, Peaceful Traditional House 3",20307199,Hotaka,,Higashimurayama Shi,35.76676,139.44505,Entire home/apt,7438,5,58,2022-03-24,0.67,3,53,2,M130000493
3689244,"Shibuya, near Harajuku 2BR (MDS2BR)",18776800,LiveinAsia,,Shibuya Ku,35.67205,139.67877,Entire home/apt,31000,6,13,2020-03-20,0.14,18,1,0,M130003456
8328784,Near Shinjuku Shibuya /Large open balcony,43751877,Masami,,Shibuya Ku,35.67949,139.67874,Entire home/apt,5714,2,271,2022-05-12,3.29,8,39,6,M130000187
3716040,Like a Tokyo Local in Equipped 34㎡,5660134,Kengo,,Setagaya Ku,35.62012,139.6601,Entire home/apt,8000,2,33,2021-09-17,0.40,1,5,1,M130001110
8332946,Near SkyTree Aakusa Oshiage station Free wifi,43721134,Shio,,Sumida Ku,35.70672,139.81335,Entire home/apt,7500,2,137,2021-11-01,1.67,3,130,3,M130007908
6120428,"cozy apartment, Free Wi-Fi♪",16362794,Susumu,,Itabashi Ku,35.75913,139.68681,Entire home/apt,7000,1,177,2022-05-05,2.05,1,1,1,M130002626
3744742,(3) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,,Kita Ku,35.76105,139.716,Entire home/apt,4031,3,211,2022-04-09,2.25,7,78,1,M130004689
6128894,Room201 Ikebukuro is 5 min by train,24219962,Hiroya,,Kita Ku,35.75787,139.72151,Private room,1700,3,61,2022-01-29,0.71,6,29,3,M130001128
6164909,Room203 Ikebukuro is 5 min by train,24219962,Hiroya,,Kita Ku,35.75788,139.72151,Private room,1800,3,65,2020-08-10,0.75,6,88,0,M130001128
8341784,Near Shinjuku! BigBalcony New!Powerful clothdryer~,43855091,Rumika,,Shibuya Ku,35.6857,139.68274,Private room,14000,4,139,2021-05-08,1.69,8,7,0,M130003423
8372308,East Toranomon is the Central Tokyo,43230315,Hirotake,,Minato Ku,35.66839,139.752,Entire home/apt,18827,1,212,2022-05-08,2.69,2,242,13,M130005435
3775528,SHIBUYA12min/Fancy&Warm house,19358663,Mikako,,Setagaya Ku,35.62942,139.63077,Private room,40569,1,83,2020-01-13,0.87,1,180,0,M130001108
8416408,Near SHIBUYA Quiet Residential Area,34561184,Toshiro & Tanya,,Setagaya Ku,35.65192,139.66968,Private room,7980,1,60,2019-11-15,0.73,5,365,0,M130000233
6166571,Room204 Ikebukuro is 5 min by train,24219962,Hiroya,,Kita Ku,35.75786,139.72151,Private room,1900,3,66,2020-10-31,0.78,6,88,0,M130001128
3793206,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室10F B,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70432,Private room,5136,2,212,2022-04-30,2.23,11,23,4,M130002186
6194398,☆ Anna's house☆,30457696,Anna,,Machida Shi,35.59461,139.40819,Private room,4057,3,44,2019-10-09,0.51,2,147,0,M130001787
3814258,apartment hotel TASU TOCO,19611972,岩間,,Suginami Ku,35.70293,139.60045,Entire home/apt,7750,2,170,2022-02-08,1.81,3,309,7,Hotels and Inns Business Act | 杉並区杉並保健所 | 22　杉並第　37960　号
6214018,Room202 Ikebukuro is 5 min by train,24219962,Hiroya,,Kita Ku,35.75786,139.72151,Private room,2000,4,79,2020-10-25,0.92,6,53,0,M130001128
8447162,Special Price☆Enjoy the huge house☆SHIMOKITA TOKYO,14382431,Kyoko,,Setagaya Ku,35.66326,139.66277,Entire home/apt,12000,4,132,2022-05-10,1.63,1,128,5,M130009249
3838856,SHINJUKU ★Designer Pencil House★ Airport Transfer,4626879,Tracey,,Shibuya Ku,35.68245,139.69009,Entire home/apt,23258,1,175,2022-04-21,1.85,5,184,2,M130018884
8450948,"Recommended for families 【go,toトラベル承認済）",44316986,Yukio,,Machida Shi,35.59061,139.46899,Entire home/apt,10000,1,132,2022-05-28,1.75,2,164,16,Hotels and Inns Business Act | 東京都町田市保健所 | １９町保環第４１１号
6365363,SHITAMACHI BASE/Quiet new apt.room101/skytree view,33170407,Hiroyoshi,,Sumida Ku,35.71865,139.81069,Entire home/apt,11071,1,28,2022-04-03,0.33,11,18,4,Hotels and Inns Business Act | 東京都墨田区保健所 | 27墨福衛生環第213号
3845889,COZY LOFT BEDROOM　#106,19089769,Manami,,Suginami Ku,35.70679,139.6551,Entire home/apt,8500,3,96,2020-03-18,1.27,2,22,0,M130000777
6380625,Sunny House in a Leafy Street,33088758,Nayu,,Suginami Ku,35.67951,139.64878,Entire home/apt,17209,1,146,2022-01-01,1.70,1,202,3,M130001866
8468825,Tokyo life style like you live here,42380408,Satoru & Kazue,,Shibuya Ku,35.65361,139.70953,Entire home/apt,16000,4,159,2020-02-22,1.94,2,0,0,Hotels and Inns Business Act | 東京都渋谷区保健所 | ３１渋健生収第２２１０号
3846001,COZY LOFT BEDROOM #1,19089769,Manami,,Suginami Ku,35.70686,139.65543,Entire home/apt,5500,14,123,2020-03-07,1.30,2,22,0,M130008732
3871442,Nishi-Ogikubo 1BR Roomy (SSH1BRR-S),18776800,LiveinAsia,,Suginami Ku,35.70399,139.59775,Entire home/apt,13000,3,36,2020-02-02,0.39,18,29,0,M130002734
8488964,D) 4min walk Ikebukuro/Free wifi/Direct Shinjuku,29253527,Sato,,Toshima Ku,35.73332,139.70842,Entire home/apt,7157,2,77,2022-05-29,0.94,6,64,8,Hotels and Inns Business Act | 東京都豊島区池袋保健所 | 2豊池保衛環き第71号
6428968,Tatami/FREE portable Wifi,21858182,Eri,,Katsushika Ku,35.73773,139.84798,Private room,6500,1,159,2021-12-29,1.86,1,0,1,M130002815
3886601,"""Meiji House""4Room,8Guests,WIFI,2min/HIROO Stn.",10415965,Azabu,,Shibuya Ku,35.649656604100834,139.7218119954611,Entire home/apt,35430,3,132,2021-10-30,1.40,1,210,2,M130003789
6439108,Green Apart Right In Shimokitazawa 2min walk!!,10705201,D'S Airbnb,,Setagaya Ku,35.66106,139.66859,Entire home/apt,5800,2,208,2022-03-19,2.43,3,234,6,Hotels and Inns Business Act | 東京都世田谷保健所 | 30世保生環き第339号
8574820,Experience Japanese family life,27572392,Zack,,Shinagawa Ku,35.62273,139.7132,Private room,6857,2,43,2019-11-18,0.57,1,0,0,M130014735
8618595,Near Shinjuku Shibuya /Living room with 2 sofas,43751877,Masami,,Shibuya Ku,35.67949,139.67874,Entire home/apt,9114,2,349,2022-03-27,4.30,8,289,10,Hotels and Inns Business Act | 東京都渋谷保健所 | ３０渋保生環旅第２９号
3920124,"Residential area, Peaceful Traditional House 2",20307199,Hotaka,,Higashimurayama Shi,35.76577,139.44678,Entire home/apt,40569,10,133,2021-06-11,1.53,3,364,0,M130000495
3925416,【Itokiyoshi】Ningyo-cho 1min walk,20336856,Ito,,Chuo Ku,35.68577,139.78368,Entire home/apt,3000,1,114,2022-04-24,1.21,1,0,2,Hotels and Inns Business Act | 東京都中央区保健所 | 31中保生環き　第95号
8619851,静かな住宅街の中の広い一軒家,26761196,Yoko&Yasuhiro,,Nakano Ku,35.71702,139.64708,Entire home/apt,17714,6,62,2022-06-22,0.86,1,146,9,M130000155
6505073,(4) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,,Kita Ku,35.76111,139.71576,Entire home/apt,3601,3,215,2022-05-29,2.53,7,0,2,M130006696
4026948,Near Shinagawa Shibuya Haneda,20878710,Daisuke,,Shinagawa Ku,35.60033,139.73415,Private room,6000,4,127,2019-12-31,1.36,1,0,0,M130000543
6592213,ชอบคนไทยHouse(ห้องแบบญี่ปุ่น),34475322,Masaru,,Machida Shi,35.5872,139.48277,Private room,3500,1,125,2020-08-01,1.48,2,148,0,M130000049
8721795,UNIQUE HOUSE! 15 mins. to SHIBUYA!,34561184,Toshiro & Tanya,,Setagaya Ku,35.65191,139.66971,Entire home/apt,128000,2,5,2020-12-07,0.10,5,363,0,M130000233
